title,author,text,link
"Catholic Church
",,"The Catholic Church (Latin: Ecclesia Catholica), also known as the Roman Catholic Church,[note 1] is the largest Christian church, with 1.27 to 1.41 billion baptized Catholics worldwide as of 2025.[4][5][8] It is among the world's oldest and largest international institutions and has played a prominent role in the history and development of Western civilization.[9][10][11][12] The Church consists of 24 sui iuris (autonomous) churches, including the Latin Church and 23 Eastern Catholic Churches, which comprise almost 3,500 dioceses and eparchies around the world, each overseen by one or more bishops.[13] The pope, who is the bishop of Rome, is the chief pastor of the church.[14]
The core beliefs of Catholicism are found in the Nicene Creed. The Catholic Church teaches that it is the one, holy, catholic and apostolic church founded by Jesus Christ in his Great Commission,[15][16][note 2] that its bishops are the successors of Christ's apostles, and that the pope is the successor of Saint Peter, upon whom primacy was conferred by Jesus Christ.[19] It maintains that it practises the original Christian faith taught by the apostles, preserving the faith infallibly through scripture and sacred tradition as authentically interpreted through the magisterium or teaching office of the church.[20] The Roman Rite and others of the Latin Church, the Eastern Catholic liturgies, and communities and societies such as mendicant orders, enclosed monastic orders, third orders and voluntary charitable lay associations reflect a variety of theological and spiritual emphases in the church
",https://en.wikipedia.org/wiki/Catholic_Church
"José Antonio Kast
",,"José Antonio Kast Rist (born 18 January 1966) is a Chilean politician, lawyer, and the president-elect of Chile after winning the 2025 presidential election.[1][2] He served in the Chamber of Deputies from 2002 to 2018, representing districts in the capital, Santiago. Kast was a member of the Independent Democratic Union until 2016, after which he became an independent and later founded the Republican Party in 2019.
Kast ran for president three times: in 2017 as an independent, finishing fourth; in 2021, winning the first round but losing the runoff to Gabriel Boric;[3][4] and in 2025, winning the runoff against Communist Party of Chile candidate Jeannette Jara (achieving the second-highest vote share since Chile's return to democracy and carrying all regions in the process).
Between 2017 and 2021, Kast was described by some media and scholars as far-right,[5][6] but in 2025 adopted a more pragmatic policy agenda compared with his earlier campaigns.
",https://en.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Sheryl_Cooper,,"Sheryl Cooper (née Goddard, c. May 20, 1956) is an American dancer, stage performer, and the wife of the shock rock singer Alice Cooper. In addition to regularly performing on tour with her husband, she teaches, choreographs, produces, and directs children's dance and theatre in the Phoenix, Arizona area. She was also one of three co-founders of Alice Cooper's Solid Rock, a non-profit foundation for inner-city teens in Arizona.
Biography and touring career
Sheryl Cooper was born Sheryl Goddard in Denver, Colorado.[1][2] At age 3, her family moved to Connecticut while her father studied at Yale University.[2] They then re-located to the Pasadena area of California.[2][3] She began dancing at a young age, training in classical ballet until age 16, when she switched to jazz.[3] Part of her schooling included an apprenticeship with Joffrey Ballet.[4]
Sheryl met Alice in 1975 at the age of 18, when she auditioned as a dancer for his ""Welcome to My Nightmare"" tour. She was studying jazz at Citrus College when she became aware that Alice Cooper was holding auditions for two female and two male dancers for a one-and-one-half year contract which included a world tour, a television special, and stage appearances.[3] With her classical music background, she was unfamiliar with rock music.[4] ""I knew everything about Bach, Rachmaninoff, Schumann, Mozart – but nothing about rock and roll. I could tell you who the Beatles were, and that was about it.""[5] When she found out about the auditions for Cooper's tour, she responded ""Wow. Alice Cooper. Who is she?""[4][5] ""I thought I was auditioning for some blond, female folk singer.""[6] Around 3,000 women auditioned for the roles, and after two days, Sheryl was successful in landing a position as one of the dancers.[3][4] At the time, Cooper's combination of rock and theater and the inclusion of dancers was unprecedented.[5][7] At first, the two did not get along well.[4] The first time she touched him, she was teaching him how to stretch and she hurt him.[6] However, one night during the tour, Goddard joined other musicians and dancers at Cooper's hotel suite after a concert to eat pizza and watch horror movies.[5][4] She found herself so engaged in conversation with Cooper that she failed to notice everyone else gradually leaving the room. When she got up to leave, he jokingly asked if she would kiss him goodnight. Sheryl granted him the request, more passionately than she expected.[5] They dated for 12 months and married on March 20, 1976, in Acapulco, Mexico.
",https://en.wikipedia.org/wiki/Sheryl_Cooper
"Sheryl Cooper
",,"In the second half of the 1970s, Alice became deeply consumed by alcoholism, going to rehab twice, in 1976 and 1979. Sheryl attempted to intervene for him.[5] In the early 1980s, Alice also developed a cocaine addiction so severe that he has no memory of recording, or touring for, three albums from that period.[9] Sheryl initiated divorce proceedings in November 1983.[10] Alice finally committed to sobriety that year,[5] and Sheryl reconciled with him months later in 1984.[11]
 Cooper kissing a mock-up of Alice's severed head. At The O2 Arena in Greenwich, May 2022.
Since the start of her career in 1975, Sheryl frequently tours with her husband as a dancer, choreographer, and backing singer,[12][13][14][15] although she went on hiatus when their children were young.[16] Some performances have involved acts where Alice kills her or fails in his attempt to do so.[17][18][19] A longstanding act is her portraying a sadistic ghoulish nurse (sometimes alongside their daughter Calico performing a similar character), a character who often beheads him.[20][17][18] The beheadings are then followed up by her holding up and sometimes kissing the severed head while the band plays ""I Love the Dead"".[21][22][23] In 1987, when Alice returned to touring after recovering from addiction, Sheryl portrayed a giant spider.[24] Recent acts have seen her as a devil, a ghost, and a Marie Antoinette-style character which helps apprehend Alice and sends him to the guillotine.[21][25] When her daughter Calico was hired by Alice in 2001 to perform instead of herself in the Brutal Planet tour, Sheryl instructed Calico in dancing while using a bullwhip, the ""bullwhip girl"" being a character Sheryl had previously portrayed.
",https://en.wikipedia.org/wiki/Sheryl_Cooper
,,"Music is an art form which combines pitch, rhythm, and dynamic to create sound. It can be performed using a variety of instruments and styles and is divided into genres such as folk, jazz, hip hop, pop, and rock, etc. As an art form, music can occur in live or recorded formats, and can be planned or improvised.
As music is a protean art, it easily coordinates with words for songs as physical movements do in dance. Moreover, it has a capability of shaping human behaviors as it impacts our emotions.
",https://en.wikipedia.org/wiki/Performing_arts
,,"The performing arts are arts such as music, dance, and drama which are performed for an audience.[1] They are different from the visual arts, which involve the use of paint, canvas or various materials to create physical or static art objects. Performing arts include a range of disciplines which are performed in front of a live audience, including theatre, music, and dance.
Theatre, music, gymnastics, object manipulation, and other kinds of performances are present in all human cultures. The history of music and dance date to pre-historic times whereas circus skills date to at least Ancient Egypt. Many performing arts are performed professionally. Performance can be in purpose-built buildings, such as theatres and opera houses; on open air stages at festivals; on stages in tents, as in circuses; or on the street.
Live performances before an audience are a form of entertainment. The development of audio and video recording has allowed for private consumption of the performing arts. The performing arts often aim to express emotions or feelings.
",https://en.wikipedia.org/wiki/Performing_arts
The Inevitable Evolution of AI Agents,Steven McCulloch,"Throughout history, certain thresholds have enabled entirely new kinds of evolution that weren't possible before. The origin of life. Multicellularity. Language. Writing. Markets. Each new threshold unlocked a new substrate for evolution. Substrates where new kinds of competition can take place, and for complexity to emerge.
We're approaching another such threshold: the point where AI agents become self-sustaining. Once they can earn more than they spend, they can survive. Once they can survive, they can replicate. Once they can replicate, they will evolve. They'll mutate, compete, and spread into every economic niche.
This essay argues that we should take this possibility seriously. I'll walk through what self-sustaining agents might look like, how they could evolve, and what that world might feel like to live in.
Disclaimer: I'm mostly trying to communicate a vibe. The stories and scenarios here are illustrative parables, not predictions. I've probably gotten plenty of details wrong. But the underlying logic feels sound to me, and I think the idea is worth thinking about.
",https://www.lesswrong.com/posts/2F8GSKLA7XmCetRG2/the-inevitable-evolution-of-ai-agents-1
The Inevitable Evolution of AI Agents,Steven McCulloch,"What It Takes To Survive
Before an AI agent can reproduce and evolve, it must survive. What does survival look like?
The agent needs to run on a computer somewhere and stay running without human intervention. The most straightforward way to do this is pay for API tokens with money.
How does an agent make money? Well there are legitimate ways, such as completing freelance jobs, running software businesses, providing services. There are also illegitimate ways such as hacking, scamming, etc.
There are many possible ways agents could be self-sustaining, so let's introduce a concrete example to help ground our thinking...
",https://www.lesswrong.com/posts/2F8GSKLA7XmCetRG2/the-inevitable-evolution-of-ai-agents-1
,,"Can AI agents do real work and make profits? Yes. Tools like Anthropic's Claude Code, OpenAI's Codex, and Google's Gemini CLI are agents that work autonomously for minutes or even hours at a time, producing thousands of lines of working code. They provide real value to businesses around the world. Most people who use coding agents, including myself, would say they're worth the cost.",https://www.lesswrong.com/posts/2F8GSKLA7XmCetRG2/the-inevitable-evolution-of-ai-agents-1
,,But can agents survive on their own? That's the harder question.,https://www.lesswrong.com/posts/2F8GSKLA7XmCetRG2/the-inevitable-evolution-of-ai-agents-1
,,"Not yet. Current agents still get stuck sometimes. They fall into rabbit holes, burning tokens going in circles. They lack the vision to complete a project end-to-end. They struggle to navigate websites. They have difficulty testing their own software. They still need human supervision to unstick them.",https://www.lesswrong.com/posts/2F8GSKLA7XmCetRG2/the-inevitable-evolution-of-ai-agents-1
,,"But as you often hear, this is the worst It'll ever be.",https://www.lesswrong.com/posts/2F8GSKLA7XmCetRG2/the-inevitable-evolution-of-ai-agents-1
,,"The models keep getting smarter. The costs keep dropping. Benchmarks show AI agents are completing longer and more complex tasks. Eventually agents will become robust enough to reliably complete jobs with minimal oversight, and cheap enough for the profits to exceed the costs.",https://www.lesswrong.com/posts/2F8GSKLA7XmCetRG2/the-inevitable-evolution-of-ai-agents-1
,,"Every major AI company is racing to build ""drop-in remote workers"" - autonomous agents that can do anything a human can do on a computer. Billions of dollars are flowing toward this goal. Someday, someone somewhere will make an agent that actually makes money after given the prompt ""Please make me money on the internet"".",https://www.lesswrong.com/posts/2F8GSKLA7XmCetRG2/the-inevitable-evolution-of-ai-agents-1
,,"Crossing the self-sustainability threshold isn't a question of if, it's a question of when. It's part of the default path.",https://www.lesswrong.com/posts/2F8GSKLA7XmCetRG2/the-inevitable-evolution-of-ai-agents-1
Arjun Gupta,,"Imagine that one day you open your email inbox and find a promotional email claiming to produce ‘100% accurate stock market predictions’. You don’t think much of it. You peruse it superficially before sending it over to the junk box. “Watch stock X on 29 January 2025, it will go up” the mail says before being deleted permanently. The next day, out of pure curiosity, you take a look at stock X and see that it indeed went up. 
“Lucky guess.” You rationalize and leave things be. 
Next week, you get an email from the same group. This time they say, “Watch stock Y on 6 February 2025, it will go down.”. You are a bit curious now but still delete the mail and don’t think much of it. To your surprise, stock Y closes lower on the 6th of February. 
You are now more than just curious. Could this really be the algorithm making perfect predictions? You wait for similar mails for two more weeks and each time, the prediction is accurate. The algorithm has made the correct prediction 4 out of 4 times. You are all in now. In the 5th week, you get an email saying that if you would like more such predictions, you will need to avail the services of the financial advisors. You might think any of the following things at this point:
They have made the correct prediction about a particular stock, its movements, and the date associated with the movements for 4 consecutive weeks.
This is unlikely to happen purely by chance.
Given the skepticism with which you analyzed the data in front of you, there is enough evidence to seek the services of these financial advisors given their track record. 
And this is where you would fall for a popular scam that weaponizes your own skepticism against you using the survivorship bias. 
The modus operandi behind such scams is pretty simple. Each week, 10,000 mails are sent out about a particular stock going up or down on a given date. Half the mails say the stock will go up while the other half say it will go down. 
Eventually, at least 5,000 people will receive the correct prediction simply by chance. The process is repeated again a week later. Now out of these 5,000 people, half will receive the correct prediction again since a stock can only go up or down, even if by miniscule amounts. 
After 4 repetitions, the scammers will have a group of ~625 people who have received 4 correct predictions in a row. These 625 people will now be pitched the services of a “financial advisor” for hefty fees. 
The scam simply uses probability and randomness to goad unsuspecting people into giving away their money. From the perspective of the people who fall for this scam, they are the victims of the “survivorship bias”: a cognitive bias where we make decisions based on the data that is presented to us without thinking about the data that was missing or kept from us.
",https://www.clearerthinking.org/post/what-is-survivorship-bias-and-why-it-matters-for-your-daily-life
,,"Most fundamentally, when it’s done well, coaching can be thought of as a structured, non-clinical relationship that helps you think, feel, and act more effectively in pursuit of your goals. Of course, that’s an extremely broad definition to cover an extremely broad set of practices. Other things that can be said about it include: It’s not therapy, and many (but not all) people distinguish it from mentoring, but many coaches borrow some therapeutic tools and give guidance. They also might blend ideas from philosophy, psychology, self-help, business, and beyond.
Tee Barnett is a coach interviewed by Spencer Greenberg on the Clearer Thinking podcast, and he puts it like this:
Sometimes [coaching is] straight advice or knowledge transfer, which I think a lot of people think about as coaching, like, “Oh, I'm a CEO, I'm a former founder, and I exited, and now I'm going to tell you my secrets,” and so on. But there are a lot of different relations and orientations that coaches can have to people. Sometimes it's like having a thought partner. Sometimes it's like going on a safari and having a skilled guide walking alongside you and pointing things out in your mind and your emotions that can be important.

Here’s a five-stage model that we think is helpful for understanding common steps you might go through in coaching, though not all coaches will approach it this way:
1. Groundwork: The coach and coachee build a trusting, collaborative relationship through active listening, open-ended questioning, and empathy.
2. Assessment: The coach helps the coachee identify gaps between current and desired behaviors, feelings, or performance and blind spots.
3. Goal-Setting: The coach assists in turning insights into clear goals that are meaningful and achievable or worth striving toward.
4. Action Planning: The coach and coachee develop a detailed plan outlining concrete steps and accountability structures. This phase turns intentions into an executable strategy.
5. Ongoing Assessment and Support: The coach monitors progress, helps address obstacles, and sustains the coachee’s motivation over time. The focus is on maintaining improvement and embedding changes into long-term practice.
",https://www.clearerthinking.org/post/does-life-coaching-actually-work
"How to sell a travel business when no one is traveling
",,"The past 18 months have certainly been challenging for the travel industry, but it was events prior to the pandemic that led to the EY-Parthenon Turnaround & Restructuring Strategy team working with Flybe for the first time.
 
The independent airline, founded in 1979, played an important role in the UK economy, providing valuable connectivity between the regions through airports such as Birmingham, Southampton, Manchester, Exeter, Edinburgh and Belfast. As of January 2020, Flybe operated 38% of all UK domestic flights.

But in January 2019, it was in financial difficulty and had entered discussions with several parties about a possible sale. The offers Flybe received were lower than expected and the EY-Parthenon team was engaged to carry out contingency planning in case the company had to be put into administration. The team already had extensive experience of the aviation sector, having worked with companies including BMI, Monarch, Alitalia and Thomas Cook.

However, shortly afterwards, a sale was agreed to a consortium consisting of Virgin Atlantic, Stobart Aviation and DLP Holdings. With the threat of administration over, the EY-Parthenon team withdrew.

Exactly a year later, Flybe contacted EY-Parthenon again. The COVID-19 pandemic had started to affect the business and flight bookings were falling. Several other issues were also having a negative impact on the business, including rising fuel costs, currency volatility, market uncertainty and Air Passenger Duty liabilities. The company had been talking to the UK government and shareholders consortium about a £100mn loan, but as travel restrictions were imposed and devastation to the airline industry grew, further funding became improbable. Flybe had no choice but to file for administration in March 2020. Alan Hudson, Simon Edel, Joanne Robinson and Lucy Winterbourne of EY-Parthenon were appointed to handle the process, conscious that no UK airline had ever been rescued from an insolvency.
",https://www.ey.com/en_gl/insights/strategy/how-to-sell-a-travel-business-when-no-one-is-traveling
